set lifetime,JV_1.5V
input,output
5e-06,116.858
3.0819553137e-06,72.1801
7.3242339492e-06,147.351
6.9148519635e-06,143.204
4.6024343371e-06,109.438
4.9792817235e-06,116.491
5.3869307041e-06,123.325
7.2117006779e-06,146.251
3.7158119678e-06,89.5687
5.250633955e-06,121.126
5.9461513162e-06,----
4.882132113e-06,114.744
7.3119783401e-06,147.232
4.2208603024e-06,101.487
2.8074589372e-06,63.8181
3.0196282268e-06,70.3234
2.938143909e-06,67.8581
6.9728070498e-06,143.816
6.4124625921e-06,137.514
6.1597815156e-06,134.366
6.3105925918e-06,136.269
7.3962527514e-06,148.039
5.5986887217e-06,126.583
3.2519868016e-06,77.1136
6.7160543799e-06,141.037
3.3701467514e-06,80.4267
4.5232394338e-06,107.858
4.4224748015e-06,105.795
5.6258136034e-06,----
4.3281030655e-06,103.809
5.4400071502e-06,124.16
7.1556136012e-06,145.692
4.3291956186e-06,103.833
2.9857522249e-06,69.3036
4.085496068e-06,98.4548
4.4533488154e-06,106.433
4.9703934789e-06,116.333
2.5616812706e-06,55.9538
6.5809798241e-06,139.503
6.7444372177e-06,141.353
5.3854036331e-06,123.301
4.4044294953e-06,105.419
7.3847866058e-06,147.93
5.5554893613e-06,125.934
3.3348062634e-06,79.4458
5.6697228551e-06,127.634
4.333795011e-06,103.931
6.5120565891e-06,138.7
5.3295740485e-06,122.41
5.0823399425e-06,118.293
