"Transient time","V[1]","V[2]","Global device temperature","Available photo current","Source photo current","Optical wavelength","Light intensity, beam 1","I[r1]","I[adiode_anode]","I[adiode_cathode]","I[v1]"
2.0000000000e-10,-1.2502018580e-12,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2577969409e-12,1.2493052410e-12,1.2001194309e-11,-1.2000297692e-11
3.0000000000e-10,-1.5289081014e-12,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.5467166442e-12,1.5268057620e-12,1.1667022253e-11,-1.1664919914e-11
4.2000000000e-10,-2.6762268044e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6769368260e-11,2.6761482286e-11,3.7601684802e-11,-3.7600899044e-11
5.6400000000e-10,1.1526336432e-10,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1527415574e-10,-1.1526225177e-10,1.9559109559e-10,-1.9559220815e-10
7.3680000000e-10,-1.3770281338e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3775720363e-11,1.3769755576e-11,3.0908241832e-11,-3.0907716071e-11
9.4416000000e-10,5.8369803163e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.8370301583e-11,-5.8369757725e-11,1.2759406155e-10,-1.2759410699e-10
1.1929920000e-09,-1.1046582751e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1048712139e-11,1.1046398751e-11,2.0003166064e-11,-2.0002982064e-11
1.4915904000e-09,5.6998405894e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.7006431535e-11,-5.6997745747e-11,9.5748615340e-11,-9.5749275488e-11
1.8499084800e-09,-7.4132085283e-12,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.4139636292e-12,7.4131492029e-12,1.4140617301e-11,-1.4140557976e-11
2.2798901760e-09,-3.6268278859e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6265836415e-11,3.6268462608e-11,-3.5236041739e-11,3.5235857991e-11
2.7958682112e-09,-2.4897248773e-13,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.4629536038e-13,2.4916564890e-13,1.0902433490e-11,-1.0902626651e-11
3.4150418534e-09,-2.8379570131e-12,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8331176832e-12,2.8382921139e-12,1.1187070074e-11,-1.1187405175e-11
4.1580502241e-09,-2.5471550169e-12,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5467920194e-12,2.5471791335e-12,9.1390211704e-12,-9.1390452870e-12
5.0496602690e-09,-1.9373048191e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9375404221e-11,1.9372898191e-11,-1.4798391700e-11,1.4798541699e-11
6.1195923227e-09,-1.5199899849e-11,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.5199421589e-11,1.5199928966e-11,-1.4777966119e-11,1.4777937002e-11
7.4035107873e-09,-1.9730401678e-12,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9716638457e-12,1.9731200512e-12,4.7958831583e-12,-4.7959630416e-12
